Time,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z
0 days 00:00:07.499000,234.0041685333333,10768.666709333333,6,99.42916693333332,False,0,392.00855342243153,0.1188865907428315,-5482.0,-4300.0,684.0
0 days 00:00:07.636000,238.0,10860.0,6,100.0,False,0,401.10027777777776,0.1216438880087815,-5397.29610916836,-4277.916104194382,692.7783326457553
0 days 00:00:07.719000,238.5187504,10918.35942,6,100.0,False,0,406.6048873531082,0.1233133012398652,-5344.0,-4265.0,698.0
0 days 00:00:07.880000,239.5250016,11031.56268,6,100.0,False,0,417.3086489156653,0.1265594898987266,-5240.0,-4243.0,707.0
0 days 00:00:07.956000,240.0,11085.0,6,100.0,False,0,422.43361111111113,0.1281137653801748,-5189.699737832227,-4233.456925492229,711.483084757007
0 days 00:00:08.079000,243.51428754285715,11173.296474514284,6,99.56071405714286,False,0,430.84535529038817,0.1306648413170242,-5107.0,-4220.0,719.0
0 days 00:00:08.236000,248.0,11286.0,6,99.0,False,0,441.7225,0.1339636128368096,-5000.626767447452,-4208.639634596462,728.3409193679203
0 days 00:00:08.279000,248.46071497142856,11326.696489142858,6,99.15357165714286,False,0,444.7121524315228,0.1348703011781396,-4971.0,-4206.0,731.0
0 days 00:00:08.479000,250.60357211428573,11515.982203428572,6,99.86785737142856,False,0,458.6622702640182,0.1391010301637364,-4832.0,-4194.0,744.0
0 days 00:00:08.516000,251.0,11551.0,6,100.0,False,0,461.2447222222222,0.1398842245771939,-4807.397131660403,-4191.639120678772,746.3166976260609
0 days 00:00:08.717000,252.0,11550.0,6,100.0,False,0,475.3147222222223,0.1441513108872957,-4679.967379661376,-4175.981742857723,758.2910323922096
0 days 00:00:08.839000,254.541664,11377.166848,6,100.0,False,0,483.99628217288193,0.1467842153376004,-4590.0,-4152.0,767.0
0 days 00:00:08.957000,257.0,11210.0,6,100.0,False,0,492.4480555555556,0.1493474311511959,-4487.473908280179,-4113.978524838412,777.1625382449304
0 days 00:00:09.059000,257.4249994666667,10822.825485866666,6,100.0,False,0,499.7466773169113,0.1515609243282031,-4405.0,-4079.0,785.0
0 days 00:00:09.197000,258.0,10299.0,7,100.0,False,0,509.64805555555546,0.1545637697818817,-4326.353745455069,-4041.025652905312,791.1971696488438
0 days 00:00:09.339000,259.41999872,10368.2249376,7,100.0,False,0,519.9258366998364,0.1576807690156403,-4259.0,-4005.0,796.0
0 days 00:00:09.597000,262.0,10494.0,7,100.0,False,0,538.7591666666666,0.1633924566115955,-4099.964365826124,-3925.730167745753,810.3553661082098
0 days 00:00:09.679000,262.5857133714286,10491.657146514286,7,99.70714331428572,False,0,544.758142083964,0.1652117988914666,-4034.0,-3897.0,816.0
0 days 00:00:09.860000,263.87857005714284,10486.485719771428,7,99.06071497142857,False,0,558.0395500268788,0.1692397245497529,-3871.0,-3833.0,829.0
0 days 00:00:09.877000,264.0,10486.0,7,99.0,False,0,559.2925,0.1696197135815615,-3857.9428349451377,-3828.245368907081,830.0393883833718
0 days 00:00:10.179000,266.8312488,10653.0436792,7,99.0,False,0,581.6877352191703,0.1764116397802275,-3687.0,-3779.0,843.0
0 days 00:00:10.197000,267.0,10663.0,7,99.0,False,0,583.0258333333333,0.1768174521572365,-3675.523969901301,-3776.396195414888,843.6926462967567
0 days 00:00:10.357000,268.0,10573.0,7,99.0,False,0,594.9369444444444,0.1804298003562645,-3558.4203844241338,-3752.428220366494,849.8853559471609
0 days 00:00:10.360000,268.01886834982844,10573.0,7,97.90563570995003,False,0,595.161104321727,0.1804977825555271,-3556.0,-3752.0,850.0
0 days 00:00:10.516000,269.0,10573.0,7,41.0,False,0,606.8177777777778,0.1840329660470439,-3420.028496660713,-3731.500376013307,855.8216521308024
0 days 00:00:10.620000,265.65714285714284,10830.4,7,27.628571428571423,False,0,614.4520317386149,0.1863482482477638,-3332.0,-3720.0,859.0
0 days 00:00:10.779000,260.5464265142857,11223.9251584,7,7.185706057142852,False,0,625.8439843887752,0.1898031484040414,-3216.0,-3706.0,862.0
0 days 00:00:10.796000,260.0,11266.0,7,5.0,True,0,627.04,0.1901658706386771,-3204.5493414312486,-3704.746218529329,862.1480505040495
0 days 00:00:10.956000,248.0,11169.0,7,5.0,True,0,638.0622222222222,0.193508640613897,-3095.9823002716003,-3692.233920335416,862.096331943091
0 days 00:00:10.980000,246.6,11252.5,7,4.9,True,0,639.6694506470718,0.1939960736209249,-3076.0,-3689.0,862.0
0 days 00:00:11.196000,234.0,12004.0,6,4.0,True,0,653.6622222222222,0.1982397384417284,-2859.026577797429,-3643.766787946585,861.0318913596984
0 days 00:00:11.220000,233.14285714285717,11941.257142857145,6,3.657142857142857,True,0,655.189047635518,0.1987027871850823,-2839.0,-3639.0,861.0
0 days 00:00:11.476000,224.0,11272.0,5,0.0,True,0,671.0844444444446,0.2035234716283663,-2726.871274412281,-3604.017219443202,862.1274835603041
0 days 00:00:11.676000,209.0,11544.0,5,0.0,True,0,682.6955555555556,0.2070448371768589,-2665.759698457256,-3568.9801768069583,862.9968888470448
0 days 00:00:11.680000,208.8999936,11551.12045568,5,0.0,True,0,682.9249713583679,0.207114413369574,-2664.0,-3568.0,863.0
0 days 00:00:11.800000,205.8999936,11764.72045568,5,0.0,True,0,689.7853811424211,0.209195007589277,-2605.0,-3535.0,863.0
0 days 00:00:11.876000,204.0,11900.0,5,0.0,True,0,694.0288888888889,0.2104819595304116,-2570.39243558112,-3514.2493794027114,863.3246817789384
0 days 00:00:12.080000,193.7999872,11476.6994688,5,0.0,True,0,704.833218302809,0.2137586479548585,-2483.0,-3445.0,865.0
0 days 00:00:12.196000,188.0,11236.0,4,0.0,True,0,710.74,0.215550030138003,-2421.368517967864,-3376.833759425599,865.5221247181523
0 days 00:00:12.340000,182.6,10864.6,4,0.0,True,0,717.9342410063828,0.2177318671891692,-2353.0,-3292.0,866.0
0 days 00:00:12.436000,179.0,10617.0,4,0.0,False,0,722.6733333333334,0.2191691177926261,-2328.5908501505546,-3258.224052354533,866.4842898560723
0 days 00:00:12.636000,176.0,10381.0,4,0.0,False,0,732.4511111111111,0.2221344782545147,-2313.677889309034,-3219.9424330758397,867.7493575924859
0 days 00:00:12.680000,175.3714249142857,10332.44257462857,4,0.0,False,0,734.5838776966716,0.2227812941109388,-2309.0,-3206.0,868.0
0 days 00:00:12.880000,172.51428205714285,10111.728288914286,4,0.0,False,0,744.1495037256332,0.2256823141447508,-2280.0,-3115.0,869.0
0 days 00:00:12.916000,172.0,10072.0,4,0.0,False,0,745.828888888889,0.2261916305228259,-2275.974153173547,-3097.1805936787205,869.1793029396683
0 days 00:00:13.080000,166.874992,9966.4248352,4,5.125007999999999,False,0,753.2899533945813,0.228454388604633,-2265.0,-3022.0,870.0
0 days 00:00:13.236000,162.0,9866.0,4,10.0,False,0,760.228888888889,0.2305587977485164,-2262.879731099989,-2976.81971482153,870.742200557699
0 days 00:00:13.279000,161.69285668571428,9889.189320228572,4,16.142866285714284,False,0,762.1357340502461,0.2311370971716515,-2263.0,-2963.0,871.0
0 days 00:00:13.516000,160.0,10017.0,4,50.0,False,0,772.6733333333334,0.2343328928818292,-2267.806660547895,-2858.85623019402,872.9634711748367
0 days 00:00:13.520000,160.08333866666666,10021.333610666668,4,50.3500224,False,0,772.8535343590897,0.2343875434383374,-2268.0,-2857.0,873.0
0 days 00:00:13.619000,162.14583466666667,10128.583402666667,4,59.0125056,False,0,777.3442119704583,0.2357494559442756,-2274.0,-2812.0,874.0
